Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"78","Nuvama Wealth Management Ltd","NUVAMA","1,174.4","2.78%","4,24,787",""
"79","Crisil Limited","CRISIL","3,808.6","2.77%","1,46,990",""
"80","Ambuja Cements Limited","AMBUJACEM","430.05","2.77%","26,53,255",""
"81","Acc Limited","ACC","1,362.1","2.73%","1,48,242",""
"82","Canara Bank Ltd","CANBK","130.51","2.73%","2,64,53,809",""
"83","Cholamandalam Investment And Finance Company Limited","CHOLAFIN","1,393.2","2.72%","37,79,021",""
"84","Prestige Estates Projects Limited","PRESTIGE","1,183.2","2.71%","24,07,295",""
"85","Poly Medicure Limited","POLYMED","1,370.1","2.69%","2,46,309",""
"86","Hdfc Bank Limited","HDFCBANK","771","2.68%","4,29,76,659",""
"87","Punjab & Sind Bank","PSB","22.96","2.68%","27,69,218",""
"88","Data Patterns (India) Ltd","DATAPATTNS","3,136.7","2.66%","8,21,747",""
"89","FSN E-Commerce Ventures Ltd","NYKAA","252.52","2.66%","1,04,02,983",""
"90","Firstsource Solutions Limited","FSL","223.58","2.66%","10,48,635",""
"91","Meesho Ltd","MEESHO","150.45","2.62%","36,83,554",""
"92","GMR Airports Ltd","GMRAIRPORT","91.2","2.62%","1,40,13,744",""
"93","Sona BLW Precision Forgings Ltd","SONACOMS","509.4","2.59%","9,67,766",""
"94","Container Corporation Of India Limited","CONCOR","450.45","2.55%","15,90,046",""
"95","Jio Financial Services Ltd","JIOFIN","235.31","2.54%","1,60,36,376",""
"96","Gujarat Mineral Development Corporation Limited","GMDCLTD","597.1","2.53%","27,88,595",""
"97","HDFC Life Insurance Company Ltd","HDFCLIFE","580.4","2.53%","43,33,557",""
"98","CIE Automotive India Ltd","CIEINDIA","467.65","2.53%","2,85,647",""
"99","Upl Limited","UPL","607.75","2.49%","10,75,781",""
"100","Shree Cements Limited","SHREECEM","23,695","2.46%","31,374",""
"101","Polycab India Ltd","POLYCAB","7,047","2.46%","3,45,105",""
"102","Fortis Healthcare Limited","FORTIS","808.15","2.46%","11,34,897",""
"103","Blue Star Limited","BLUESTARCO","1,565.4","2.43%","7,31,043",""
"104","Indiamart Intermesh Ltd","INDIAMART","2,067.7","2.42%","72,997",""
"105","Page Industries Limited","PAGEIND","34,750","2.37%","29,444",""
"106","Max Financial Services Limited","MFSL","1,498.8","2.36%","8,00,765",""
"107","Metro Brands Ltd","METROBRAND","960.35","2.36%","27,141",""
"108","Kirloskar Oil Engines Limited","KIRLOSENG","1,416.4","2.35%","3,23,459",""
"109","Happy Forgings Ltd","HAPPYFORGE","1,216.5","2.35%","41,000",""
"110","Radico Khaitan Limited","RADICO","2,684.7","2.34%","1,78,418",""
"111","Billionbrains Garage Ventures Ltd","GROWW","168.68","2.34%","1,95,45,522",""
"112","Anand Rathi Wealth Ltd","ANANDRATHI","3,282.9","2.33%","3,26,562",""
