Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"78","One 97 Communications Ltd","PAYTM","1,029.1","2.3%","32,80,196",""
"79","Coal India Limited","COALINDIA","459.55","2.27%","1,24,03,745",""
"80","Delhivery Ltd","DELHIVERY","435.9","2.26%","33,32,882",""
"81","Uno Minda Ltd","UNOMINDA","1,048.4","2.24%","6,19,772",""
"82","The Federal Bank  Limited","FEDERALBNK","271.5","2.24%","92,97,534",""
"83","Honeywell Automation India Limited","HONAUT","27,485","2.23%","4,654",""
"84","Schneider Electric Infrastructure Limited","SCHNEIDER","926.25","2.23%","2,45,191",""
"85","Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","1,427.8","2.21%","1,25,154",""
"86","Havells India Limited","HAVELLS","1,206.6","2.2%","6,93,409",""
"87","Fertilizers And Chemicals Travancore Limited","FACT","790.6","2.18%","3,93,375",""
"88","Mazagon Dock Shipbuilders Ltd","MAZDOCK","2,313.7","2.17%","21,28,497",""
"89","The Indian Hotels Company Limited","INDHOTEL","595.4","2.17%","30,18,104",""
"90","ICICI Prudential Asset Management Co Ltd","ICICIAMC","2,905.5","2.15%","4,39,271",""
"91","Bajaj Housing Finance Ltd","BAJAJHFL","79.68","2.15%","83,23,966",""
"92","Bajaj Auto Limited","BAJAJ-AUTO","8,942.5","2.1%","3,13,792",""
"93","Vodafone Idea Ltd","IDEA","8.76","2.1%","53,99,38,324",""
"94","Nestle India Limited","NESTLEIND","1,216","2.07%","14,60,974",""
"95","Berger Paints (i) Limited","BERGEPAINT","431","2.07%","2,07,641",""
"96","Adani Power Limited","ADANIPOWER","163.26","2.06%","12,74,64,037",""
"97","Lodha Developers Ltd","LODHA","710.25","2.04%","77,60,768",""
"98","Hindustan Zinc Limited","HINDZINC","526.05","2%","49,64,299",""
"99","Suzlon Energy Limited","SUZLON","41.59","1.99%","6,66,48,727",""
"100","Amber Enterprises India Ltd","AMBER","6,405","1.97%","3,31,960",""
"101","Inventurus Knowledge Solutions Ltd","IKS","1,369.3","1.97%","1,11,376",""
"102","Grasim Industries Limited","GRASIM","2,614.4","1.96%","7,20,478",""
"103","Bajaj Finserv Limited","BAJAJFINSV","1,672.3","1.93%","12,15,027",""
"104","The Phoenix Mills Limited","PHOENIXLTD","1,554.7","1.93%","3,69,830",""
"105","Icici Prudential Life Insurance Company Limited","ICICIPRULI","513.1","1.93%","8,23,182",""
"106","Punjab National Bank Ltd","PNB","106.5","1.93%","2,13,48,893",""
"107","Central Bank Of India Ltd","CENTRALBK","33.93","1.92%","65,31,958",""
"108","Aster DM Healthcare Ltd","ASTERDM","670.6","1.9%","3,43,386",""
"109","Uco Bank Ltd","UCOBANK","24.35","1.88%","92,71,908",""
"110","Welspun Corp Limited","WELCORP","862.6","1.86%","5,09,781",""
"111","Kei Industries Limited","KEI","4,123.1","1.85%","2,57,078",""
"112","Hero Motocorp Limited","HEROMOTOCO","5,103.5","1.84%","3,48,536",""
"113","General Insurance Corporation of India Ltd","GICRE","385.45","1.82%","6,46,163",""
"114","Ntpc Limited","NTPC","366.1","1.79%","1,15,34,034",""
"115","Power Grid Corporation Of India Limited","POWERGRID","295.15","1.79%","92,91,741",""
"116","Dr. Lal Path Labs Ltd.","LALPATHLAB","1,352.3","1.78%","3,28,697",""
"117","Hindustan Aeronautics Ltd","HAL","3,752.1","1.77%","11,30,371",""
"118","AU Small Finance Bank Ltd","AUBANK","883.55","1.76%","17,72,253",""
"119","Escorts Kubota Ltd","ESCORTS","2,893.3","1.74%","1,52,950",""
"120","Britannia Industries Limited","BRITANNIA","5,535","1.71%","2,28,390",""
"121","HDB Financial Services Ltd","HDBFS","588.45","1.71%","5,33,784",""
"122","Indraprastha Gas Limited","IGL","148.81","1.71%","22,26,131",""
"123","Bharat Forge Limited","BHARATFORG","1,670.6","1.7%","12,11,548",""
"124","Hindustan Copper Limited","HINDCOPPER","503.35","1.66%","1,30,81,861",""
"125","Ashok Leyland Limited","ASHOKLEY","150.91","1.66%","2,30,12,980",""
"126","Manappuram Finance Limited","MANAPPURAM","260","1.64%","33,74,294",""
"127","The Great Eastern Shipping Company Limited","GESHIP","1,463","1.63%","7,85,318",""
"128","HDFC Asset Management Company Ltd","HDFCAMC","2,386.6","1.62%","8,85,512",""
"129","Central Depository Services Ltd","CDSL","1,205.3","1.6%","21,44,856",""
"130","Yes Bank Limited","YESBANK","18.15","1.57%","11,10,04,079",""
"131","Persistent Systems Limited","PERSISTENT","5,309.4","1.56%","6,06,786",""
"132","Bajaj Holdings & Investment Limited","BAJAJHLDNG","9,131","1.54%","48,445",""
"133","Glaxosmithkline Pharmaceuticals Limited","GLAXO","2,346.6","1.52%","37,644",""
"134","National Aluminium Company Limited","NATIONALUM","407.85","1.51%","1,30,20,935",""
"135","Nbcc (india) Limited","NBCC","84.34","1.5%","1,23,96,717",""
"136","Solar Industries India Limited","SOLARINDS","13,303","1.48%","1,35,192",""
"137","Cochin Shipyard Ltd","COCHINSHIP","1,333.9","1.48%","17,34,231",""
"138","Laurus Labs Limited","LAURUSLABS","1,058.2","1.47%","19,52,469",""
"139","Pi Industries Limited","PIIND","2,837.7","1.45%","1,91,729",""
"140","Tata Investment Corporation Limited","TATAINVEST","592","1.44%","4,23,061",""
"141","IDFC First Bank Ltd","IDFCFIRSTB","61.08","1.43%","4,10,63,566",""
"142","ICICI Lombard General Insurance Company Ltd","ICICIGI","1,713","1.42%","3,15,391",""
"143","State Bank Of India Ltd","SBIN","1,032.75","1.41%","2,35,76,634",""
"144","Pidilite Industries Limited","PIDILITIND","1,291.2","1.38%","12,30,910",""
"145","Life Insurance Corporation of India Ltd","LICI","744.95","1.37%","10,95,521",""
"146","Aegis Logistics Ltd","AEGISLOG","597.35","1.37%","17,83,672",""
"147","Samvardhana Motherson International Ltd","MOTHERSON","108.26","1.36%","3,20,32,534",""
"148","Tata Motors Passenger Vehicles Ltd","TMPV","307.4","1.35%","64,25,909",""
"149","Voltas Limited","VOLTAS","1,252","1.34%","12,13,038",""
"150","Dlf Limited","DLF","529.2","1.33%","50,46,388",""
"151","Iti Limited","ITI","258.22","1.33%","5,81,799",""
"152","Sundaram Finance Limited","SUNDARMFIN","4,598","1.32%","68,484",""
"153","Bharat Electronics Limited","BEL","427.15","1.32%","1,23,27,836",""
"154","K.p.r. Mill Limited","KPRMILL","840.8","1.31%","1,97,661",""
"155","Icici Bank Limited","ICICIBANK","1,231.4","1.28%","1,00,58,414",""
"156","The Ramco Cements Limited","RAMCOCEM","937","1.28%","84,472",""
"157","TATA Consumer Products Ltd","TATACONSUM","1,055.2","1.27%","21,79,297",""
"158","United Spirits Ltd","UNITDSPR","1,236.3","1.24%","9,48,501",""
"159","Union Bank Of India Ltd","UNIONBANK","174.12","1.24%","1,66,41,379",""
"160","Hindalco Industries Limited","HINDALCO","927.45","1.22%","55,55,538",""
"161","Wipro Limited","WIPRO","197.29","1.22%","2,32,82,287",""
"162","Nippon Life India Asset Management Ltd","NAM-INDIA","839.65","1.17%","16,08,826",""
"163","Mphasis Limited","MPHASIS","2,235.2","1.14%","6,03,188",""
"164","Jsw Energy Limited","JSWENERGY","496.7","1.14%","27,65,752",""
"165","Cummins India Limited","CUMMINSIND","4,698.3","1.11%","6,55,461",""
"166","Tata Communications Limited","TATACOMM","1,402.7","1.11%","2,61,005",""
"167","Nhpc Limited","NHPC","76.16","1.1%","80,19,672",""
"168","ITC Hotels Ltd","ITCHOTELS","149.7","1.09%","79,32,298",""
"169","CG Power and Industrial Solutions Ltd","CGPOWER","687.3","1.07%","23,78,124",""
"170","Apar Industries Limited","APARINDS","9,935","1.05%","62,394",""
"171","Patanjali Foods Ltd","PATANJALI","471.7","1.02%","18,78,287",""
"172","Tata Steel Limited","TATASTEEL","196.1","1.01%","2,81,15,748",""
"173","Jindal Stainless Limited","JSL","725","1%","8,85,053",""
"174","Gail (india) Limited","GAIL","143.14","0.99%","1,14,66,136",""
"175","Mankind Pharma Ltd","MANKIND","2,017.7","0.96%","5,32,381",""
"176","Indusind Bank Limited","INDUSINDBK","786.2","0.96%","25,12,596",""
"177","Indian Railway Finance Corporation Ltd","IRFC","92.72","0.96%","1,73,11,052",""
"178","Tata Consultancy Services Limited","TCS","2,473.9","0.95%","25,72,417",""
"179","Hindustan Unilever Limited","HINDUNILVR","2,084.8","0.94%","16,61,298",""
"180","Premier Energies Ltd","PREMIERENE","925.95","0.94%","11,73,910",""
"181","Housing and Urban Development Corporation Ltd","HUDCO","169.52","0.92%","28,12,074",""
"182","Aditya Infotech Ltd","CPPLUS","1,815.9","0.91%","2,10,990",""
"183","Power Finance Corporation Limited","PFC","405.9","0.91%","71,62,794",""
"184","Dixon Technologies Ltd","DIXON","10,008","0.88%","7,52,942",""
"185","Godfrey Phillips India Limited","GODFRYPHLP","1,926.5","0.87%","5,61,160",""
"186","Oberoi Realty Limited","OBEROIRLTY","1,519.9","0.86%","2,88,582",""
"187","REC Ltd","RECLTD","327.55","0.85%","65,05,082",""
"188","NTPC Green Energy Ltd","NTPCGREEN","98.05","0.85%","46,66,160",""
"189","Abb India Limited","ABB","6,193.5","0.84%","2,59,645",""
"190","Supreme Industries Limited","SUPREMEIND","3,672.2","0.83%","2,24,359",""
"191","Apl Apollo Tubes Limited","APLAPOLLO","1,915","0.83%","3,64,128",""
"192","Tata Motors Commercial Vehicles Ltd","TMCV","391.3","0.82%","99,99,061",""
"193","Indian Overseas Bank Ltd","IOB","33.05","0.79%","49,32,519",""
"194","Apollo Hospitals Enterprise Limited","APOLLOHOSP","7,373","0.76%","3,60,086",""
"195","Himadri Speciality Chemical Limited","HSCL","451.5","0.75%","31,97,443",""
"196","Coromandel International Limited","COROMANDEL","1,892.2","0.74%","3,34,620",""
"197","Tata Elxsi Limited","TATAELXSI","4,272.3","0.73%","2,04,565",""
"198","Srf Limited","SRF","2,433.8","0.73%","11,06,561",""
"199","Idbi Bank Limited","IDBI","70.06","0.73%","2,16,45,375",""
"200","Bharti Hexacom Ltd","BHARTIHEXA","1,517.6","0.72%","82,585",""
"201","Godrej Consumer Products Limited","GODREJCP","1,001.95","0.72%","13,58,923",""
"202","Siemens Limited","SIEMENS","3,048","0.71%","3,72,908",""
"203","Asian Paints Limited","ASIANPAINT","2,184.3","0.71%","20,48,228",""
"204","Cipla Limited","CIPLA","1,200.9","0.71%","21,88,849",""
"205","Kotak Mahindra Bank Limited","KOTAKBANK","360.55","0.71%","1,83,20,378",""
"206","Adani Ports And Special Economic Zone Limited","ADANIPORTS","1,387.1","0.69%","25,19,628",""
"207","Gland Pharma Ltd","GLAND","1,700","0.68%","63,619",""
"208","Itc Limited","ITC","294.85","0.68%","1,80,47,063",""
"209","Adani Total Gas Ltd","ATGL","523.45","0.65%","17,09,257",""
"210","Hindustan Petroleum Corporation Limited","HINDPETRO","328.05","0.63%","50,89,386",""
"211","Glenmark Pharmaceuticals Limited","GLENMARK","2,104.8","0.62%","5,82,698",""
"212","Torrent Pharmaceuticals Limited","TORNTPHARM","4,011.6","0.61%","4,20,340",""
"213","Tube Investments of India Ltd","TIINDIA","2,582.9","0.61%","2,55,370",""
"214","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","514.7","0.57%","11,54,102",""
"215","New India Assurance Company Ltd","NIACL","123.93","0.57%","6,11,355",""
